symbol,shortName,longName,marketCap,cumulativeMarketCapPercentage,companySize,region
BBCA.JK,Bank Central Asia Tbk,PT Bank Central Asia Tbk,1047837534060544.0,7.364914605082946,Large-Cap,east_asia_n_pacific
BYAN.JK,Bayan Resources Tbk,PT Bayan Resources Tbk.,667499322408960.0,17.2284179309207,Large-Cap,east_asia_n_pacific
TPIA.JK,Chandra Asri Pacific Tbk.,PT Chandra Asri Pacific Tbk,622882799484928.0,21.606461738345942,Large-Cap,east_asia_n_pacific
BBRI.JK,Bank Rakyat Indonesia (Persero),PT Bank Rakyat Indonesia (Persero) Tbk,610128424337408.0,25.894859125644707,Large-Cap,east_asia_n_pacific
BMRI.JK,Bank Mandiri (Persero) Tbk,PT Bank Mandiri (Persero) Tbk,485333149941760.0,29.30611047725973,Large-Cap,east_asia_n_pacific
005930.KS,SamsungElec,"Samsung Electronics Co., Ltd.",396834778382336.0,34.90927257792195,Large-Cap,east_asia_n_pacific
AMMN.JK,Amman Mineral Internasional Tbk,PT Amman Mineral Internasional Tbk,389785294209024.0,37.648948637283965,Large-Cap,east_asia_n_pacific
TLKM.JK,Telkom Indonesia (Persero) Tbk.,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,238739901120512.0,41.18018022841204,Large-Cap,east_asia_n_pacific
ASII.JK,Astra International Tbk,PT Astra International Tbk,199179309678592.0,42.58014783712861,Large-Cap,east_asia_n_pacific
BBNI.JK,Bank Negara Indonesia  (Persero,PT Bank Negara Indonesia (Persero) Tbk,157968830038016.0,44.87715439738177,Large-Cap,east_asia_n_pacific
000660.KS,SK hynix,SK hynix Inc.,137585762500608.0,45.84420067960977,Large-Cap,east_asia_n_pacific
ICBP.JK,Indofood CBP Sukses Makmur Tbk.,PT Indofood CBP Sukses Makmur Tbk,118659829727232.0,47.59541470030595,Large-Cap,east_asia_n_pacific
BNLI.JK,Bank Permata Tbk,PT Bank Permata Tbk,91538688311296.0,49.691226354857,Large-Cap,east_asia_n_pacific
GOTO.JK,GoTo Gojek Tokopedia Tbk.,PT GoTo Gojek Tokopedia Tbk,89448263974912.0,50.31992956917618,Large-Cap,east_asia_n_pacific
UNTR.JK,United Tractors Tbk,PT United Tractors Tbk,85529123094528.0,50.92108639679792,Large-Cap,east_asia_n_pacific
CPIN.JK,Charoen Pokphand Indonesia Tbk,PT Charoen Pokphand Indonesia Tbk,71987217039360.0,54.18169604412337,Large-Cap,east_asia_n_pacific
BRPT.JK,Barito Pacific Tbk.,PT Barito Pacific Tbk,66532965089280.0,54.649334957960185,Large-Cap,east_asia_n_pacific
HMSP.JK,H.M. Sampoerna Tbk.,PT Hanjaya Mandala Sampoerna Tbk,63974901022720.0,55.0989940583315,Large-Cap,east_asia_n_pacific
INDF.JK,Indofood Sukses Makmur Tbk,PT Indofood Sukses Makmur Tbk,62341056036864.0,55.537169385305106,Large-Cap,east_asia_n_pacific
ADRO.JK,Alamtri Resources Indonesia Tbk,PT Alamtri Resources Indonesia Tbk,54711445094400.0,56.33421779740097,Large-Cap,east_asia_n_pacific
KLBF.JK,Kalbe Farma Tbk,PT Kalbe Farma Tbk.,52379344961536.0,56.70237544605568,Large-Cap,east_asia_n_pacific
005380.KS,HyundaiMtr,Hyundai Motor Company,50304741539840.0,57.41307479354213,Large-Cap,east_asia_n_pacific
UNVR.JK,Unilever Indonesia Tbk,PT Unilever Indonesia Tbk,48259749904384.0,58.093374668746236,Large-Cap,east_asia_n_pacific
BRMS.JK,Bumi Resources Minerals Tbk.,PT Bumi Resources Minerals Tbk,47072292110336.0,58.75606294093295,Large-Cap,east_asia_n_pacific
ISAT.JK,Indosat Tbk,PT Indosat Ooredoo Hutchison Tbk,46924912656384.0,59.085883130925566,Large-Cap,east_asia_n_pacific
MYOR.JK,Mayora Indah Tbk,PT Mayora Indah Tbk,45388161613824.0,59.40490198976729,Large-Cap,east_asia_n_pacific
TBIG.JK,Tower Bersama Infrastructure Tb,PT Tower Bersama Infrastructure Tbk,44755098533888.0,59.719471250869084,Large-Cap,east_asia_n_pacific
BNGA.JK,Bank CIMB Niaga Tbk.,PT Bank CIMB Niaga Tbk,42608910925824.0,60.3249705443838,Large-Cap,east_asia_n_pacific
PNBN.JK,Bank Pan Indonesia Tbk,PT Bank Pan Indonesia Tbk,39975290667008.0,61.190727379857776,Large-Cap,east_asia_n_pacific
ANTM.JK,Aneka Tambang Tbk.,PT Aneka Tambang Tbk,39290356629504.0,61.466886719424664,Large-Cap,east_asia_n_pacific
068270.KS,Celltrion,"Celltrion, Inc.",38555732672512.0,61.73788262235732,Large-Cap,east_asia_n_pacific
000270.KS,KIA CORP.,Kia Corporation,37727839977472.0,62.003059532552115,Large-Cap,east_asia_n_pacific
PGAS.JK,Perusahaan Gas Negara Tbk.,PT Perusahaan Gas Negara Tbk,37695531253760.0,62.268009355070255,Large-Cap,east_asia_n_pacific
7203.T,TOYOTA MOTOR CORP,Toyota Motor Corporation,35280413261824.0,63.02779510566303,Large-Cap,east_asia_n_pacific
MDKA.JK,Merdeka Copper Gold Tbk.,PT Merdeka Copper Gold Tbk,34907870986240.0,63.27315135651486,Large-Cap,east_asia_n_pacific
BUMI.JK,Bumi Resources Tbk,PT Bumi Resources Tbk,34534156402688.0,63.515880887188146,Large-Cap,east_asia_n_pacific
